2	30396.8000000000	1760.70000000000	4078293.81560000	2515163.38040000	4195929.67480000
6	29477.8000000000	4876.40000000000	4077125.56300000	2516300.00700000	4196157.46020000
20	26543.8000000000	8069.70000000000	4075541.48220000	2517205.26280000	4197349.80140000
21	30453.6957000000	9740.29550000000	4076320.94420000	2518661.19570000	4196015.34040000
26	27219.5898000000	10896.1864000000	4074999.20700000	2518544.15950000	4197102.58490000
40	31376.3000000000	18789.4000000000	4074068.08270000	2522656.60880000	4195487.47070000
42	29513.7320000000	17180.3668000000	4074052.08300000	2521679.15180000	4196294.25080000
44	26299.2000000000	16113.9000000000	4073451.42650000	2520671.75410000	4197534.04300000
60	21713.0000000000	15267.5000000000	4072201.34290000	2519420.39480000	4199045.52470000
67	19954.8000000000	16826.2000000000	4071299.04210000	2519787.99670000	4199706.55350000
68	22585.5380000000	18542.2631000000	4071589.44960000	2520986.81330000	4198714.95840000
79	18159.2000000000	18762.0000000000	4070299.87710000	2520316.71590000	4200395.94700000
84	21198.5000000000	20073.6000000000	4070946.84070000	2521477.40040000	4199412.70600000
86	25546.1000000000	24806.0000000000	4070874.97350000	2524250.63370000	4197704.41520000
90	18769.7000000000	22700.7000000000	4069412.00890000	2522108.45740000	4200129.30980000
95	15868.9000000000	22619.3000000000	4068626.88620000	2521572.82570000	4201233.62560000
103	19894.8000000000	26827.5000000000	4068644.26780000	2524087.25880000	4199700.84470000
108	16962.2000000000	26481.0000000000	4068028.96190000	2523482.18780000	4200945.96130000
115	9576.10000000000	30480.1000000000	4064762.97840000	2523853.16980000	4203558.28390000
119	24887.7000000000	11423.9000000000	4074109.17210000	2518318.77090000	4197863.83750000
133	12619.8972000000	31733.3393000000	4065408.58870000	2524981.58180000	4202550.90980000
135	18575.0000000000	31679.2000000000	4067109.74850000	2526003.12460000	4200322.46290000
137	11088.0000000000	29744.1000000000	4065412.40440000	2523814.59090000	4203026.28780000
158	30851.7000000000	29052.4000000000	4071405.36900000	2527079.01370000	4195878.10210000
160	31963.6000000000	20995.7000000000	4073804.12410000	2523782.16240000	4195440.13790000
171	14160.2224000000	30338.5482000000	4066185.32960000	2524638.14910000	4201946.49530000
175	12832.4000000000	27544.8000000000	4066486.52020000	2523172.79910000	4202379.74440000
177	16854.7000000000	27770.4000000000	4067666.99160000	2524023.03390000	4200993.01780000
181	24397.8000000000	20300.7000000000	4071660.65510000	2522071.46490000	4198056.36960000
184	21736.6000000000	21885.4000000000	4070577.11990000	2522330.01510000	4199152.99920000
186	22067.0000000000	25211.6000000000	4069697.79840000	2523775.80330000	4198906.00930000
188	19043.8799000000	29480.3618000000	4067724.18740000	2525091.31600000	4200037.17910000
197	35070.1840000000	821.862400000000	4079960.85620000	2515624.17080000	4194302.49790000
199	34392.9025000000	3796.62090000000	4078849.66230000	2516717.40780000	4194380.22250000
205	35809.9000000000	6797.40000000000	4078601.99700000	2518325.87230000	4194009.26190000
209	32165.5526000000	7281.05850000000	4077423.93760000	2517887.84580000	4195348.39190000
211	33320.8926000000	10319.5745000000	4076996.19660000	2519419.76980000	4194959.77080000
214	32332.2129000000	16331.0708000000	4075123.21150000	2521829.56270000	4195299.29040000
